S. No,user_id,offer_id,status,started_at,completed_at,expires_at,,,,,
67,5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,3534,COMPLETED,2022-11-26 00:26:50.646742+00:00,2022-11-26 05:02:39.935430+00:00,,,,,,
68,6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,3520,ONGOING,2022-11-26 00:29:06.788249+00:00,,2022-11-28 00:29:06.792566+00:00,,,,,
69,4960fecc-a53a-4d08-99e6-5ef807d9f270,3529,COMPLETED,2022-11-26 00:24:12.803939+00:00,2022-11-28 01:03:03.722132+00:00,,,,,,
70,4cb29e43-9f23-42fe-bab8-2422f42e7a91,3467,COMPLETED,2022-11-26 00:30:12.294660+00:00,2022-11-26 00:40:46.818802+00:00,,,,,,
71,ebe78f6d-27fc-4d78-8a84-facd421c4e7d,3467,ONGOING,2022-11-26 00:30:17.635456+00:00,,2022-11-28 00:30:17.639428+00:00,,,,,
72,b06fa72c-5614-4770-830c-32938f8c476b,3467,ONGOING,2022-11-26 00:30:24.956802+00:00,,2022-11-28 00:30:24.961885+00:00,,,,,
73,3db62aad-421b-474e-9b1e-8a88ff370d4f,3340,ONGOING,2022-11-26 00:30:17.918753+00:00,,2022-11-28 00:30:17.924226+00:00,,,,,
74,02f19b3c-f65e-42da-a170-a91cafffbc1a,3227,ONGOING,2022-11-26 00:30:40.947947+00:00,,2022-11-28 00:30:40.955465+00:00,,,,,
75,4960fecc-a53a-4d08-99e6-5ef807d9f270,2328,ONGOING,2022-11-26 00:30:56.282989+00:00,,2022-11-28 00:30:56.287897+00:00,,,,,
76,e066a509-b551-43bf-87a3-7416ecb7ce73,3195,ONGOING,2022-11-26 00:31:21.924404+00:00,,2022-11-28 00:31:21.928647+00:00,,,,,
77,5b54a20e-a231-4879-94d8-076f90d73ca7,3467,ONGOING,2022-11-26 00:32:15.634544+00:00,,2022-11-28 00:32:15.639989+00:00,,,,,
78,c303ce63-ce0c-4ca6-a59f-a834e10ea59a,3173,ONGOING,2022-11-26 00:32:15.096775+00:00,,2022-11-28 00:32:15.102822+00:00,,,,,
79,b06fa72c-5614-4770-830c-32938f8c476b,3515,ONGOING,2022-11-26 00:32:16.699492+00:00,,2022-11-28 00:32:16.704120+00:00,,,,,
80,b06fa72c-5614-4770-830c-32938f8c476b,3340,ONGOING,2022-11-26 00:33:28.188163+00:00,,2022-11-28 00:33:28.194398+00:00,,,,,
81,ebe78f6d-27fc-4d78-8a84-facd421c4e7d,3534,ONGOING,2022-11-26 00:33:12.901007+00:00,,2022-11-28 00:33:12.907272+00:00,,,,,
82,50e66bc8-76c3-41df-87cc-fdda8ed58333,3498,ONGOING,2022-11-26 00:33:47.465584+00:00,,2022-11-28 00:33:47.469945+00:00,,,,,
83,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3534,ONGOING,2022-11-26 00:35:35.628341+00:00,,2022-11-28 00:35:35.633175+00:00,,,,,
84,047ef59d-4331-48b7-9bfb-f6fa23101a4f,3467,ONGOING,2022-11-26 00:35:25.808598+00:00,,2022-11-28 00:35:25.812306+00:00,,,,,
